Date,Price,Open,High,Low,Change %
"Feb 05, 2017",3.9555,4.012,4.012,3.895,-1.41
"Feb 04, 2017",4.012,4.0141,4.0587,3.94,-0.05
"Feb 03, 2017",4.0141,4.085,4.085,3.8974,-1.74
"Feb 02, 2017",4.085,4.0163,4.099,3.9801,1.71
"Feb 01, 2017",4.0163,4.06,4.0823,4,-1.08
"Jan 31, 2017",4.06,4.0715,4.181,4.0154,-0.28
"Jan 30, 2017",4.0715,3.8351,4.08,3.8351,6.16
"Jan 29, 2017",3.8351,3.8558,3.89,3.8314,-0.54
"Jan 28, 2017",3.8558,3.8809,3.8958,3.8192,-0.65
"Jan 27, 2017",3.8809,3.8368,3.8809,3.7752,1.15
"Jan 26, 2017",3.8368,3.69,3.8738,3.6662,3.98
"Jan 25, 2017",3.69,3.733,3.772,3.65,-1.15
"Jan 24, 2017",3.733,3.8246,3.8636,3.7322,-2.4
"Jan 23, 2017",3.8246,3.85,3.8621,3.744,-0.66
"Jan 22, 2017",3.85,3.9208,3.9259,3.8,-1.81
"Jan 21, 2017",3.9208,3.9098,3.9533,3.88,0.28
"Jan 20, 2017",3.9098,3.907,3.938,3.8502,0.07
"Jan 19, 2017",3.907,3.8949,3.9499,3.8053,0.31
"Jan 18, 2017",3.8949,3.95,3.958,3.7949,-1.39
"Jan 17, 2017",3.95,3.8927,4.0199,3.8401,1.47
"Jan 16, 2017",3.8927,3.9135,3.939,3.8255,-0.53
"Jan 15, 2017",3.9135,3.9466,3.9506,3.8193,-0.84
"Jan 14, 2017",3.9466,3.9262,3.9952,3.86,-0.22
"Jan 13, 2017",3.9553,4.0001,4.0389,3.8622,-1.12
"Jan 12, 2017",4.0001,3.9443,4.1,3.8067,1.41
"Jan 11, 2017",3.9443,4.574,4.619,3.7656,-13.77
"Jan 10, 2017",4.574,4.34,4.659,4.3015,5.39
"Jan 09, 2017",4.34,4.02,4.44,3.8926,7.96
"Jan 08, 2017",4.02,3.963,4.04,3.92,1.44
"Jan 07, 2017",3.963,3.84,3.9999,3.629,3.2
"Jan 06, 2017",3.84,4.2127,4.2892,3.8,-8.85
"Jan 05, 2017",4.2127,4.642,4.721,4.1,-8.22
"Jan 04, 2017",4.59,4.593,4.7222,4.4304,-0.07
"Jan 03, 2017",4.593,4.58,4.6665,4.455,0.28
"Jan 02, 2017",4.58,4.4997,4.74,4.4486,1.78
"Jan 01, 2017",4.4997,4.3635,4.5401,4.3457,3.12
"Dec 31, 2016",4.3635,4.4135,4.4187,4.2738,-1.13
"Dec 30, 2016",4.4135,4.59,4.59,4.25,-3.85
"Dec 29, 2016",4.59,4.5976,4.615,4.4431,-0.17
"Dec 28, 2016",4.5976,4.3633,4.6239,4.3633,5.37
